setting,k,seed_ari_mean,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_size_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_overlap_ratio_median,source,sigma,learning_rate,random_order,layout
paper_main,2,1.0,0.7082687132403513,0.05763809045436978,0.0,0.7069438540409987,2.0,0.0,304.0,0.15637860082304528,0.2606155109786811,0.050269248644766826,5.184392406880096,paper,0.5,0.1,False,1x2
paper_main,3,1.0,0.5108937887488216,0.04157594689416619,0.11676954732510288,0.6141630557684378,3.0,0.0,147.0,0.07561728395061729,0.13688431481323796,0.03367560745825046,4.064791258149577,paper,0.5,0.1,False,1x3
paper_main,4,1.0,0.4249212953948018,0.03457960460783803,0.0,0.5759727721191544,4.0,0.0,65.0,0.03343621399176955,0.10185515512196092,0.027571542531899994,3.694213154756261,paper,0.5,0.1,False,2x2
paper_main,5,1.0,0.3652487460750269,0.029723521413649468,0.2602880658436214,0.5171342944681941,5.0,0.0,42.0,0.021604938271604937,0.07141914499458026,0.022169718438405504,3.2214728692496744,paper,0.5,0.1,False,1x5
paper_main,6,0.9826637049116987,0.32213483688070754,0.026214961242164984,0.0,0.4832277734391498,6.0,0.0,39.0,0.020061728395061727,0.05676806601070256,0.01910289901309631,2.9716989973252037,paper,0.5,0.1,False,2x3
paper_main,7,0.8021222244950078,0.2985711289864141,0.024297373889141896,0.2968106995884774,0.44002886895201354,7.0,0.0,37.0,0.01903292181069959,0.04593925931899571,0.017109186258179414,2.6850639547131236,paper,0.5,0.1,False,1x7
paper_main,8,0.8995726147484495,0.2931105604779874,0.02385299912609321,0.11265432098765432,0.4398750717979782,8.0,0.0,18.0,0.009259259259259259,0.04238643862132398,0.016590880778097852,2.554340004142596,paper,0.5,0.1,False,2x4
paper_main,9,0.7689593183130927,0.27276474749416957,0.022197280347038474,0.10030864197530864,0.42806455263983,9.0,0.0,20.0,0.0102880658436214,0.03591059406584696,0.015077164737086186,2.3817869400294986,paper,0.5,0.1,False,3x3
paper_main,10,0.7941827845968911,0.26498064853097025,0.021563819357220057,0.1712962962962963,0.4170000562619439,10.0,0.0,20.0,0.0102880658436214,0.034317708846703446,0.01485045895704948,2.310885403854944,paper,0.5,0.1,False,2x5
paper_sigma_sensitivity,2,1.0,0.7082687274300733,0.05763809160911298,0.0,0.7069438540409987,2.0,0.0,304.0,0.15637860082304528,0.26061557023775156,0.05026924792364593,5.184393660084526,paper,0.3,0.1,False,1x2
paper_sigma_sensitivity,3,1.0,0.5108938416093887,0.041575951195898124,0.11676954732510288,0.6141630557684378,3.0,0.0,147.0,0.07561728395061729,0.13688432560218025,0.03367560668215924,4.064791672205699,paper,0.3,0.1,False,1x3
paper_sigma_sensitivity,4,0.9813837340114759,0.42550894820293417,0.03462742711514029,0.0,0.5761906832462108,4.0,0.0,64.0,0.03292181069958848,0.10215340395564561,0.027589333990080053,3.70264117244269,paper,0.3,0.1,False,2x2
paper_sigma_sensitivity,5,0.8343367897807173,0.42205217427712205,0.034346118842599596,0.809156378600823,0.552719792148489,5.0,0.0,21.0,0.010802469135802469,0.08053469537522435,0.02754277931865661,2.991334167924737,paper,0.3,0.1,False,1x5
paper_sigma_sensitivity,6,0.8550830702913599,0.36824772109069887,0.02996757453923916,0.25462962962962965,0.5332809327782874,6.0,0.0,18.0,0.009259259259259259,0.0802292803655985,0.023317081280854003,3.4407942999296033,paper,0.3,0.1,False,2x3
paper_sigma_sensitivity,7,0.8959808627607382,0.31850812573136367,0.02591982367450171,0.7777777777777778,0.4903591984937533,7.0,0.0,18.0,0.009259259259259259,0.05769769367904585,0.019145419650054903,3.0136552099948273,paper,0.3,0.1,False,1x7
paper_sigma_sensitivity,8,0.8292509406506134,0.29679500691747723,0.024152835125034938,0.15946502057613168,0.4582995996479632,8.0,0.0,18.0,0.009259259259259259,0.04980002661111396,0.017958611923357626,2.7730443099318376,paper,0.3,0.1,False,2x4
paper_sigma_sensitivity,9,0.7948554824566928,0.28985104230102177,0.023587743298736263,0.5041152263374485,0.4403767629281813,9.0,0.0,9.0,0.004629629629629629,0.04118608300703154,0.017394780213732072,2.5177681388120883,paper,0.3,0.1,False,3x3
paper_sigma_sensitivity,10,0.7516782042826229,0.266598213659092,0.02169545494047767,0.7150205761316872,0.42676591545970904,10.0,0.0,18.0,0.009259259259259259,0.034497542763614227,0.01505535261216203,2.291380590678096,paper,0.3,0.1,False,2x5
paper_lr_sensitivity,2,1.0,0.7230797033875775,0.05884339173884839,0.0,0.7074154247725258,2.0,0.0,303.0,0.1558641975308642,0.2532744357285387,0.053156214387745676,4.764719208111298,paper,0.5,0.3,False,1x2
paper_lr_sensitivity,3,1.0,0.49832607234822945,0.040553200638175094,0.0,0.6026617712187826,3.0,0.0,172.0,0.08847736625514403,0.12153756194044488,0.03170870013522474,3.832940531094102,paper,0.5,0.3,False,1x3
paper_lr_sensitivity,4,1.0,0.4433929591768293,0.03608280728784955,0.0,0.5850746425886086,4.0,0.0,65.0,0.03343621399176955,0.10569283812060336,0.030195034327716225,3.5003383990223473,paper,0.5,0.3,False,2x2
paper_lr_sensitivity,5,1.0,0.37221028808813217,0.030290043668201032,0.07613168724279835,0.5223357162280873,5.0,0.0,42.0,0.021604938271604937,0.07760843467934204,0.023220770900881073,3.34219888768013,paper,0.5,0.3,False,1x5
paper_lr_sensitivity,6,1.0,0.32572828696178674,0.026507392062480237,0.0,0.48986768512514894,6.0,0.0,40.0,0.0205761316872428,0.06029092758934371,0.01988443825962099,3.0320659200488187,paper,0.5,0.3,False,2x3
paper_lr_sensitivity,7,0.9875378828364518,0.317178155145469,0.02581159220317109,0.27211934156378603,0.4770929923829945,7.0,0.0,38.0,0.01954732510288066,0.06029089853002435,0.01970880818220179,3.0590839208578116,paper,0.5,0.3,False,1x7
paper_lr_sensitivity,8,1.0,0.3138078898948435,0.025537323906775437,0.00051440329218107,0.4843895286639033,8.0,0.0,9.0,0.004629629629629629,0.06029090108038488,0.019765667329291456,3.05028411502137,paper,0.5,0.3,False,2x4
paper_lr_sensitivity,9,0.9999157465216129,0.29740962967377116,0.02420285241559195,0.22530864197530864,0.4654100554302395,9.0,0.0,9.0,0.004629629629629629,0.05441742551042811,0.018201848985569494,2.9896647066229822,paper,0.5,0.3,False,3x3
paper_lr_sensitivity,10,0.8394753349591557,0.2743182426823028,0.022323701992524408,0.00257201646090535,0.4286724406309531,10.0,0.0,9.0,0.004629629629629629,0.036301861600894464,0.015516344418759284,2.3395886160532537,paper,0.5,0.3,False,2x5
