ifo_candidate,rank,score,curve_id,source_file,legend
Bridge,1,0.11515519599698003,Cd98c8425f4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_solr.201900245/Fig6_A_stability_performance_curve/accepted/10.1002_solr.201900245__Fig6__A__stability_performance_curve__NA_process__Series_1.csv,NA process
Bridge,2,0.09760171284768479,C4f787758a0,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1109_jphotov.2016.2642639/Fig7_A_stability_performance_curve/accepted/10.1109_jphotov.2016.2642639__Fig7__A__stability_performance_curve__P3HT790nmMPT+TEOS__Series_2.csv,P3HT790nmMPT+TEOS
Bridge,3,0.08662724318707904,C09e477865f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41467-024-45228-9/Fig6_A_mppt_stability_performance_curve_image/accepted/10.1038_s41467-024-45228-9__Fig6__A__mppt_stability_performance_curve_image__PEDAI__Series_2.csv,PEDAI
Bridge,4,0.08094405105982586,C53dfd596a5,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1109_jphotov.2016.2642639/Fig7_A_stability_performance_curve/accepted/10.1109_jphotov.2016.2642639__Fig7__A__stability_performance_curve__Spiro-MeOTADreference__Series_1.csv,Spiro-MeOTADreference
Bridge,5,0.053233372361654666,C9bcae4e31f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_solr.202100249/Fig5_D_stability_performance_curve_pce/accepted/10.1002_solr.202100249__Fig5__D__stability_performance_curve_pce__w_o_F4-TCNQ__Series_1.csv,w/o F4-TCNQ
Bridge,6,0.04858267113455072,Ca3ce90c5c1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_d0ta09209f/Fig7_D_stability_performance_curve/accepted/10.1039_d0ta09209f__Fig7__D__stability_performance_curve__Control__Series_1.csv,Control
Bridge,7,0.04456573633768836,Cdbb663cf09,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce__Cs15-M__Series_2.csv,Cs15-M
Bridge,8,0.044160781617946974,C28219c9457,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.1c02033/Fig2_D_stability_performance_curve_pce/accepted/10.1021_acsaem.1c02033__Fig2__D__stability_performance_curve_pce__3D__Series_3.csv,3D
Hill,1,0.1715869787886803,C4b59244737,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ra03162b/Fig10_A_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs_TiO₂__Series_2.csv,ZnO NPs/TiO₂
Hill,2,0.16772784216285513,Cee18af46cb,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c8ra03162b/Fig10_B_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__B__stability_performance_curve_plot__ZnO_sol-gel_TiO2__Series_2.csv,ZnO sol-gel/TiO2
