row_index,curve_id,source_file,legend,Bridge,Hill,Slope,Valley,peak_time_h,trough_time_h,peak_width_fraction,rise,post_peak_decay,post_trough_recovery
0,C73d189c994,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,PSC-0.1,0.023383517126947265,0.07033761951785737,0.09979297266585306,0.0,130.0,500.0,0.249500998003992,0.09372113664480464,0.22857650511217364,0.0
1,Cf8afa6d046,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,PSC-0.25,0.011663577491073366,0.035084041093148687,0.0,0.008068050591679454,186.0,37.0,0.249500998003992,0.18311097812695587,0.04674761858422205,0.19081871058169209
2,Cc8461f5a3a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,PSC-0.5,0.03239634750674395,0.047557199788225105,0.037768667953008726,0.0,112.0,500.0,0.405189620758483,0.07995354729496906,0.12862451115193907,0.0
3,Cfcf07bae26,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,PSC-0,0.007287162272863952,0.04720340934959634,0.2206213760395054,0.0,56.0,500.0,0.13373253493013973,0.05449057162246029,0.3134358486641333,0.0
4,C76addeb444,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,PEDOT:PSS-controlled,0.0,0.0,0.12893971296610343,0.0,0.0,500.0,0.0,0.0,0.1326540256852916,0.0
5,Cd1ae103c64,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,PTAA-controlled,0.0,0.0,0.06519377613503395,0.0,0.0,500.0,0.0,0.0,0.06693406174028127,0.0
6,C683f06fa3d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,TFB-controlled,0.0,0.0,0.08610567261779856,0.0,0.0,484.0,0.0,0.0,0.08610567261779856,0.0
7,C88a2b0b8bf,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,AD-SnO₂,0.0,0.0,0.3777352836520814,0.0,0.0,500.0,0.0,0.0,0.3777352836520814,0.0
8,Cdf92c87867,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,TA-SnO2,0.0,0.0,0.08625505829732572,0.0,0.0,500.0,0.0,0.0,0.08625505829732572,0.0
9,Cca1b9b7a37,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,w/o NbF₅,0.0,0.0,0.5492642985286649,0.0,0.0,500.0,0.0,0.0,0.5492642985286649,0.0
10,C15afa2766d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,F-PEAI,0.0,0.0,0.01826932779605463,0.010124513751178893,0.0,162.0,0.0,0.0,0.02195832667795028,0.010026431032214678
11,Cf5f916e7e7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,PEAI,0.0,0.0,0.20206318740721185,0.0,0.0,500.0,0.0,0.0,0.20206318740721185,0.0
12,Cc17ade2fa2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,MAPbI₃,0.0,0.0,0.13080207897308405,0.0,0.0,500.0,0.0,0.0,0.13080207897308405,0.0
13,C4348180c25,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,T—ITO/PCgBM,0.0,0.0,0.13791846697581966,0.0,0.0,500.0,0.0,0.0,0.13791846697581966,0.0
14,Cdfe0c4ebb6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,SnO2,0.0,0.0,0.4726981382005413,0.0,0.0,500.0,0.0,0.0,0.4726981382005413,0.0
15,Cd853dc1b41,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.csv,W/ MoOx,0.0,0.0,0.06309289455238476,0.0,0.0,500.0,0.0,0.0,0.06309289455238476,0.0
16,Cca8e2ede6e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.csv,W/o MoOx,0.0,0.0,0.17067339485510125,0.0,0.0,500.0,0.0,0.0,0.17067339485510125,0.0
17,C10cd8253d1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,Without HOCP,0.0,0.0,0.13099911271178033,0.0,0.0,455.0,0.0,0.0,0.13099911271178033,0.0
18,C462f621085,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,FASnl-based perovskite with HTL,0.0015887890099145398,0.01401872655806947,0.13484979058197658,0.0,53.0,500.0,0.10179640718562874,0.01560751556798401,0.1664462074941323,0.0
19,Caafe0f7c27,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,optimized device,1.8346150683682515e-05,5.2357091566509346e-05,0.0,0.0,369.0,0.0,0.25948103792415167,0.033978568236357254,0.00047135494833461244,0.033978568236357254
20,Cbf2f5e47eb,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,Control,0.0,0.0,0.14595490375481246,0.0,0.0,500.0,0.0,0.0,0.14595490375481246,0.0
21,Cf28cfd4de1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,Control,0.0,0.0,0.2744159289355804,0.0,0.0,500.0,0.0,0.0,0.2744159289355804,0.0
22,Cca979b07ab,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,PCBM,0.0,0.0,0.15589221104162532,0.0,0.0,500.0,0.0,0.0,0.15589221104162532,0.0
23,C4cbc536282,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201700607/Fig2_F_stability_performance_curve_pce/accepted/10.1002_adma.201700607__Fig2__F__stability_performance_curve_pce__ICBA-mixture__Series_1.csv,ICBA-mixture,0.001077421062774809,0.008392543015298513,0.08746402963852463,0.0,36.0,500.0,0.11377245508982035,0.009469964078073323,0.10153736369757294,0.0
24,C9dd6df78f5,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,CsPbl,0.0,0.0,0.8598042839034057,0.0,0.0,500.0,0.0,0.0,0.8598042839034057,0.0
25,C80b957fd7a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,1TSnO₂,3.321472791615924e-05,0.0009456428418482982,0.020148391654634026,0.0,17.0,500.0,0.033932135728542916,0.0009788575697644575,0.021836405866487052,0.0
26,C06a3acefb1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,1% H₂O,0.0,0.0,0.14650617301711477,0.0,0.0,500.0,0.0,0.0,0.14650617301711477,0.0
27,C8e833cf072,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,Reference,0.0,0.0,0.1888950280080811,0.0,0.0,500.0,0.0,0.0,0.1888950280080811,0.0
28,Cfc4c7eaeef,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_admi.201900939/Fig11_D_pce/accepted/10.1002_admi.201900939__Fig11__D__pce__Standard__Series_2.csv,Standard,0.0,0.0,0.2629690947417063,0.0,0.0,500.0,0.0,0.0,0.2773935598541206,0.0
29,C6452f3f05e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_advs.202004662/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.202004662__Fig5__A__stability_performance_curve_pce__pristine_TiO₂__Series_2.csv,pristine TiO₂,0.0,0.0,0.035982527317379234,1.2900318147657241e-05,0.0,495.0,0.0,0.0,0.036345987189271955,0.00012900318147657241
30,C9d65dc679e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201501354/Fig9_C_stability_performance_curve/accepted/10.1002_aenm.201501354__Fig9__C__stability_performance_curve__Device_based_on_C-PbI₂__Series_1.csv,Device based on C-PbI₂,0.0,0.0,0.21767717594611857,0.001110151941078963,0.0,437.0,0.0,0.0,0.24905855371409447,0.011101519410789629
31,C5474166035,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201602556/Fig7_A_stability_performance_curve/accepted/10.1002_aenm.201602556__Fig7__A__stability_performance_curve__doped_Spiro-OMeTAD__Series_1.csv,doped Spiro-OMeTAD,0.0,0.0,0.14980828030940258,0.0,0.0,500.0,0.0,0.0,0.1600515815271395,0.0
32,C1673cf3fc8,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201700683/Fig5_A_stability_performance_curve_pce/accepted/10.1002_aenm.201700683__Fig5__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,Spiro-OMeTAD,0.0,0.0,0.19540034425080902,0.0,0.0,500.0,0.0,0.0,0.20227778907951244,0.0
33,C58676dd73a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201702934/Fig4_A_stability_performance_curve/accepted/10.1002_aenm.201702934__Fig4__A__stability_performance_curve__ZnO__Series_2.csv,ZnO,0.0,0.0,0.5323426389401649,0.0,0.0,500.0,0.0,0.0,0.5323426389401649,0.0
34,C6f256cee82,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201702960/Fig5_F_stability_performance_curve/accepted/10.1002_aenm.201702960__Fig5__F__stability_performance_curve__Pristine__Series_1.csv,Pristine,0.0002651457226350076,0.0046547804640368,0.18033563429165475,0.0,14.0,500.0,0.05389221556886228,0.004919926186671808,0.19045041414104913,0.0
35,Cc7600e8ab0,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201703392/Fig6_C_stability_performance_curve/accepted/10.1002_aenm.201703392__Fig6__C__stability_performance_curve__Reference__Series_1.csv,Reference,0.0,0.0,0.2450471182410656,0.0,0.0,500.0,0.0,0.0,0.2882907273424301,0.0
