setting,k,seed_ari_mean,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_size_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_overlap_ratio_median,source,sigma,learning_rate,random_order,layout
paper_main,2,1.0,6.5442401629252736,0.2923750882609823,0.0,0.7404545920146877,2.0,0.0,52.0,0.04326123128119801,1.3888171656286112,0.22018113788581095,6.307611900627763,paper,0.5,0.1,False,1x2
paper_main,3,1.0,5.426843784573326,0.24245349971752053,0.030782029950083195,0.3314520658266451,3.0,0.0,49.0,0.04076539101497504,0.381878906094114,0.18228987833540874,2.0948991237167633,paper,0.5,0.1,False,1x3
paper_main,4,1.0,5.004862361226511,0.22360076008328766,0.0,0.3393807660051528,4.0,0.0,39.0,0.0324459234608985,0.3958344567074137,0.17859278601747014,2.216407871404595,paper,0.5,0.1,False,2x2
paper_main,5,0.8251749882361926,4.648745532666148,0.20769063353086975,0.23960066555740434,0.2760549780618164,5.0,0.0,32.0,0.026622296173044926,0.2545005610744052,0.15577049671230064,1.6338174776489378,paper,0.5,0.1,False,1x5
paper_main,6,0.8055887837145559,4.427703808965373,0.19781521761283816,0.026622296173044926,0.2504645478970407,6.0,0.0,30.0,0.024958402662229616,0.25903382893969007,0.1473421146838876,1.7576216351779415,paper,0.5,0.1,False,2x3
paper_main,7,0.7186082109219586,4.29755576807746,0.1920006319628231,0.26039933444259566,0.23546110007739618,7.0,0.0,20.0,0.016638935108153077,0.22586582185120563,0.13886516875940977,1.626511696075285,paper,0.5,0.1,False,1x7
paper_main,8,0.6079502710391852,4.1752631840257255,0.186537002241782,0.19633943427620631,0.21570518261032828,8.0,0.0,13.0,0.010815307820299502,0.19293814515150942,0.13654074712968384,1.4130295879921455,paper,0.5,0.1,False,2x4
paper_main,9,0.8475543292585128,4.088490649304983,0.18266029129200143,0.26955074875207985,0.23119126011189745,9.0,0.0,13.0,0.010815307820299502,0.22145091659763957,0.1348422405298409,1.6487613757362445,paper,0.5,0.1,False,3x3
paper_main,10,0.5377119927330793,3.971280064075619,0.17742370853397527,0.19717138103161397,0.1987804339343137,10.0,0.0,11.0,0.009151414309484194,0.18026206441633602,0.13191818774276554,1.3894957404592931,paper,0.5,0.1,False,2x5
paper_sigma_sensitivity,2,1.0,6.544238524168574,0.2923750150467324,0.0,0.7404545920146877,2.0,0.0,52.0,0.04326123128119801,1.3888346786302816,0.2201811378398202,6.307691441009532,paper,0.3,0.1,False,1x2
paper_sigma_sensitivity,3,1.0,5.426842265504141,0.24245343185051443,0.030782029950083195,0.3314520658266451,3.0,0.0,49.0,0.04076539101497504,0.3818789202804074,0.1822898836067955,2.0948991393402623,paper,0.3,0.1,False,1x3
paper_sigma_sensitivity,4,1.0,5.00485570673491,0.22360046278252838,0.0,0.3393807660051528,4.0,0.0,39.0,0.0324459234608985,0.3958345512235851,0.1785928168828401,2.2164080175802523,paper,0.3,0.1,False,2x2
paper_sigma_sensitivity,5,0.5920999780689915,4.6488156798937545,0.20769376747787535,0.6963394342762064,0.2760549780618164,5.0,0.0,32.0,0.026622296173044926,0.2545005695124173,0.155770496772155,1.633817537881006,paper,0.3,0.1,False,1x5
paper_sigma_sensitivity,6,0.5820447235669981,4.456893559326129,0.19911931948342526,0.17637271214642264,0.250475767559638,6.0,0.0,30.0,0.024958402662229616,0.25120549433274236,0.14714578548070423,1.6809716111140522,paper,0.3,0.1,False,2x3
paper_sigma_sensitivity,7,0.7757139503040656,4.339365577102198,0.19386855647345388,0.9858569051580699,0.24399962736347144,7.0,0.0,14.0,0.011647254575707155,0.23869998014417368,0.1442560788555759,1.6646963657626088,paper,0.3,0.1,False,1x7
paper_sigma_sensitivity,8,0.719881882487027,4.192208841746784,0.18729407839554285,0.2653910149750416,0.2308730402937901,8.0,0.0,12.0,0.009983361064891847,0.21029284102617823,0.1371666066944521,1.533119802934883,paper,0.3,0.1,False,2x4
