sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
0,0,0,0,"(0, 0)",13.37199303,7.457618404,44.22956708
1,3,1,1,"(1, 1)",13.99491617,7.063315833,49.52941661
2,3,1,1,"(1, 1)",14.21949051,7.097464523,50.08636547
3,0,0,0,"(0, 0)",13.75308345,9.443724222,31.33376777
4,0,0,0,"(0, 0)",15.7252188,11.01671332,29.9423845
5,0,0,0,"(0, 0)",15.62298105,10.1363305,35.11910137
6,0,0,0,"(0, 0)",14.45371013,9.992049822,30.86861622
7,0,0,0,"(0, 0)",17.68988275,11.29007609,36.17777884
8,3,1,1,"(1, 1)",17.88295616,9.897743677,44.65264251
9,1,0,1,"(0, 1)",18.45919384,14.68309392,20.45647257
10,0,0,0,"(0, 0)",18.70798008,14.49075989,22.54235984
11,1,0,1,"(0, 1)",18.64077782,14.96398527,19.72445885
12,0,0,0,"(0, 0)",18.65260055,14.17876482,23.98505089
13,0,0,0,"(0, 0)",18.74613843,13.97910728,25.42940333
14,0,0,0,"(0, 0)",18.85390733,14.08516215,25.29314002
15,1,0,1,"(0, 1)",18.61928515,16.10489839,13.50420674
16,1,0,1,"(0, 1)",17.41670956,16.82955029,3.371241105
17,1,0,1,"(0, 1)",17.67076955,16.59725981,6.075059378
18,1,0,1,"(0, 1)",17.87823928,17.11320044,4.279162126
19,1,0,1,"(0, 1)",17.43859654,16.28478901,6.616401265
20,1,0,1,"(0, 1)",17.67162336,16.83253066,4.748249111
21,1,0,1,"(0, 1)",18.68310518,16.36323126,12.4169612
22,1,0,1,"(0, 1)",17.69731915,16.89311254,4.544228461
23,1,0,1,"(0, 1)",21.47477971,20.86340999,2.846919626
24,1,0,1,"(0, 1)",21.3661496,20.93921084,1.998201684
25,1,0,1,"(0, 1)",20.8856238,20.60339696,1.351297168
26,1,0,1,"(0, 1)",19.34468216,18.89832267,2.307401491
27,1,0,1,"(0, 1)",22.59552072,22.31215997,1.254057163
28,1,0,1,"(0, 1)",24.06706574,23.1617163,3.761777392
29,1,0,1,"(0, 1)",20.89197264,20.64832263,1.166237428
30,1,0,1,"(0, 1)",20.7274002,18.01152506,13.10282579
31,1,0,1,"(0, 1)",19.453918,18.3684308,5.579787042
32,1,0,1,"(0, 1)",19.8337746,17.77922702,10.35883291
33,0,0,0,"(0, 0)",21.35466833,8.278594351,61.23285914
34,1,0,1,"(0, 1)",23.79743401,18.61155363,21.7917628
35,1,0,1,"(0, 1)",19.33025277,17.8632415,7.589198586
36,1,0,1,"(0, 1)",18.97663524,16.71764615,11.90405495
37,1,0,1,"(0, 1)",19.09142307,16.34797674,14.37004629
38,1,0,1,"(0, 1)",19.08261173,18.52985072,2.896673793
39,3,1,1,"(1, 1)",20.17522242,4.360640068,78.38616112
40,3,1,1,"(1, 1)",19.44101062,2.146592262,88.95843275
41,3,1,1,"(1, 1)",20.77915962,4.797771722,76.91065563
42,3,1,1,"(1, 1)",19.0634798,2.755953848,85.54328026
43,0,0,0,"(0, 0)",22.03569685,8.77037715,60.19922941
44,1,0,1,"(0, 1)",21.49368655,20.02819209,6.818255458
45,1,0,1,"(0, 1)",22.35319806,20.52260732,8.189390774
46,1,0,1,"(0, 1)",22.29647258,20.44987166,8.282031658
47,3,1,1,"(1, 1)",23.76086365,8.414863348,64.58519576
48,0,0,0,"(0, 0)",24.25175199,10.38241264,57.18902023
49,3,1,1,"(1, 1)",23.17106708,7.260661109,68.66496875
50,0,0,0,"(0, 0)",24.45061651,10.50285483,57.04462167
51,0,0,0,"(0, 0)",26.24353762,11.76818447,55.15778155
52,0,0,0,"(0, 0)",9.418466795,6.960335562,26.09905929
53,0,0,0,"(0, 0)",10.17276486,6.578249703,35.33469223
54,0,0,0,"(0, 0)",10.64354536,6.812187649,35.99700647
55,0,0,0,"(0, 0)",10.70838116,6.694826312,37.48050042
56,0,0,0,"(0, 0)",9.987859423,6.396750784,35.95473752
57,0,0,0,"(0, 0)",10.43956549,6.575866326,37.01015304
58,0,0,0,"(0, 0)",10.92309684,6.52394884,40.27381669
59,0,0,0,"(0, 0)",11.04467192,7.262761583,34.24194367
60,0,0,0,"(0, 0)",11.91629033,8.482113843,28.81917436
61,0,0,0,"(0, 0)",12.50918497,8.836002217,29.36388551
