time_h,normalised_pce
0.0,0.99188
0.1667,0.991888
0.3333,0.991895
0.5,0.991902
0.6667,0.991907
0.8333,0.991912
1.0,0.991916
1.1667,0.991919
1.3333,0.991921
1.5,0.991923
1.6667,0.991923
1.8333,0.991923
2.0,0.991922
2.1667,0.99192
2.3333,0.991918
2.5,0.991914
2.6667,0.99191
2.8333,0.991905
3.0,0.991899
3.1667,0.991893
3.3333,0.991885
3.5,0.991877
3.6667,0.991868
3.8333,0.991858
4.0,0.991848
4.1667,0.991836
4.3333,0.991824
4.5,0.991811
4.6667,0.991797
4.8333,0.991782
5.0,0.991767
5.1667,0.99175
5.3333,0.991733
5.5,0.991715
5.6667,0.991697
5.8333,0.991677
6.0,0.991657
6.1667,0.991635
6.3333,0.991613
6.5,0.99159
6.6667,0.991566
6.8333,0.991541
7.0,0.991515
7.1667,0.991488
7.3333,0.99146
7.5,0.991431
7.6667,0.991402
7.8333,0.991371
8.0,0.99134
8.1667,0.991308
8.3333,0.991276
8.5,0.991242
8.6667,0.991208
8.8333,0.991173
9.0,0.991138
9.1667,0.991101
9.3333,0.991065
9.5,0.991027
9.6667,0.99099
9.8333,0.990952
10.0,0.990913
10.1667,0.990874
10.3333,0.990835
10.5,0.990796
10.6667,0.990756
10.8333,0.990716
11.0,0.990677
11.1667,0.990637
11.3333,0.990597
11.5,0.990558
11.6667,0.990519
11.8333,0.990479
12.0,0.990441
12.1667,0.990402
12.3333,0.990364
12.5,0.990326
12.6667,0.990289
12.8333,0.990252
13.0,0.990216
13.1667,0.99018
13.3333,0.990145
13.5,0.99011
13.6667,0.990075
13.8333,0.990041
14.0,0.990008
14.1667,0.989974
14.3333,0.989941
14.5,0.989909
14.6667,0.989876
14.8333,0.989844
15.0,0.989813
15.1667,0.989782
15.3333,0.989751
15.5,0.98972
15.6667,0.98969
15.8333,0.98966
16.0,0.98963
16.1667,0.9896
16.3333,0.989571
16.5,0.989542
16.6667,0.989513
16.8333,0.989484
17.0,0.989456
17.1667,0.989427
17.3333,0.989399
17.5,0.98937
17.6667,0.989342
17.8333,0.989314
18.0,0.989286
18.1667,0.989257
18.3333,0.989229
18.5,0.989201
18.6667,0.989172
18.8333,0.989144
19.0,0.989116
19.1667,0.989087
19.3333,0.989058
19.5,0.989029
19.6667,0.989001
19.8333,0.988971
20.0,0.988942
20.1667,0.988913
20.3333,0.988883
20.5,0.988853
20.6667,0.988823
20.8333,0.988794
21.0,0.988764
21.1667,0.988734
21.3333,0.988704
21.5,0.988675
21.6667,0.988645
21.8333,0.988615
22.0,0.988585
22.1667,0.988556
22.3333,0.988526
22.5,0.988496
22.6667,0.988466
22.8333,0.988437
23.0,0.988407
23.1667,0.988377
23.3333,0.988347
23.5,0.988318
23.6667,0.988288
23.8333,0.988258
24.0,0.988229
24.1667,0.988199
24.3333,0.98817
24.5,0.98814
24.6667,0.988111
24.8333,0.988082
25.0,0.988053
25.1667,0.988023
25.3333,0.987994
25.5,0.987965
25.6667,0.987936
25.8333,0.987907
26.0,0.987878
26.1667,0.987848
26.3333,0.987819
26.5,0.98779
26.6667,0.987761
26.8333,0.987732
27.0,0.987703
27.1667,0.987674
27.3333,0.987645
27.5,0.987616
27.6667,0.987587
27.8333,0.987558
28.0,0.987529
28.1667,0.9875
28.3333,0.987471
28.5,0.987443
28.6667,0.987414
28.8333,0.987386
29.0,0.987357
29.1667,0.987329
29.3333,0.987301
29.5,0.987272
29.6667,0.987244
29.8333,0.987217
30.0,0.987189
30.1667,0.987161
30.3333,0.987134
30.5,0.987106
30.6667,0.987079
30.8333,0.987052
31.0,0.987025
31.1667,0.986998
31.3333,0.986971
31.5,0.986945
31.6667,0.986918
31.8333,0.986892
32.0,0.986866
32.1667,0.98684
32.3333,0.986815
32.5,0.986789
32.6667,0.986764
32.8333,0.986739
33.0,0.986713
33.1667,0.986688
33.3333,0.986663
33.5,0.986638
33.6667,0.986613
33.8333,0.986589
34.0,0.986564
34.1667,0.986539
34.3333,0.986514
34.5,0.986489
34.6667,0.986465
34.8333,0.98644
35.0,0.986415
35.1667,0.98639
35.3333,0.986365
35.5,0.98634
35.6667,0.986315
35.8333,0.98629
36.0,0.986265
36.1667,0.98624
36.3333,0.986215
36.5,0.986189
36.6667,0.986164
36.8333,0.986139
37.0,0.986113
37.1667,0.986088
37.3333,0.986062
37.5,0.986036
37.6667,0.986011
37.8333,0.985985
38.0,0.985959
38.1667,0.985933
38.3333,0.985907
38.5,0.985881
38.6667,0.985854
38.8333,0.985828
39.0,0.985801
39.1667,0.985775
39.3333,0.985748
39.5,0.985722
39.6667,0.985695
39.8333,0.985668
40.0,0.985641
40.1667,0.985614
40.3333,0.985587
40.5,0.98556
40.6667,0.985533
40.8333,0.985506
41.0,0.985479
41.1667,0.985452
41.3333,0.985425
41.5,0.985398
41.6667,0.985371
41.8333,0.985344
42.0,0.985317
42.1667,0.98529
42.3333,0.985263
42.5,0.985236
42.6667,0.985209
42.8333,0.985183
43.0,0.985156
43.1667,0.985129
43.3333,0.985103
43.5,0.985076
43.6667,0.98505
43.8333,0.985023
44.0,0.984997
44.1667,0.98497
44.3333,0.984944
44.5,0.984918
44.6667,0.984892
44.8333,0.984866
45.0,0.98484
45.1667,0.984814
45.3333,0.984788
45.5,0.984762
45.6667,0.984736
45.8333,0.984711
46.0,0.984685
46.1667,0.984659
46.3333,0.984633
46.5,0.984608
46.6667,0.984582
46.8333,0.984556
47.0,0.98453
47.1667,0.984505
47.3333,0.984479
47.5,0.984453
47.6667,0.984426
47.8333,0.9844
48.0,0.984374
48.1667,0.984347
48.3333,0.98432
48.5,0.984293
48.6667,0.984266
48.8333,0.984238
49.0,0.98421
49.1667,0.984182
49.3333,0.984154
49.5,0.984125
49.6667,0.984096
49.8333,0.984067
50.0,0.984037
50.1667,0.984007
50.3333,0.983977
50.5,0.983947
50.6667,0.983916
50.8333,0.983885
51.0,0.983853
51.1667,0.983822
51.3333,0.983789
51.5,0.983757
51.6667,0.983724
51.8333,0.983691
52.0,0.983658
52.1667,0.983624
52.3333,0.98359
52.5,0.983556
52.6667,0.983522
52.8333,0.983487
53.0,0.983452
53.1667,0.983417
53.3333,0.983382
53.5,0.983346
53.6667,0.98331
53.8333,0.983274
54.0,0.983238
54.1667,0.983202
54.3333,0.983166
54.5,0.983129
54.6667,0.983093
54.8333,0.983056
55.0,0.983019
55.1667,0.982982
55.3333,0.982946
55.5,0.982909
55.6667,0.982872
55.8333,0.982835
56.0,0.982798
56.1667,0.982761
56.3333,0.982724
56.5,0.982688
56.6667,0.982651
56.8333,0.982614
57.0,0.982577
57.1667,0.982541
57.3333,0.982504
57.5,0.982467
57.6667,0.982431
57.8333,0.982394
58.0,0.982357
58.1667,0.982321
58.3333,0.982284
58.5,0.982247
58.6667,0.98221
58.8333,0.982173
59.0,0.982136
59.1667,0.982099
59.3333,0.982062
59.5,0.982025
59.6667,0.981987
59.8333,0.98195
60.0,0.981912
60.1667,0.981874
60.3333,0.981836
60.5,0.981798
60.6667,0.98176
60.8333,0.981722
61.0,0.981683
61.1667,0.981644
61.3333,0.981606
61.5,0.981567
61.6667,0.981527
61.8333,0.981488
62.0,0.981449
62.1667,0.981409
62.3333,0.981369
62.5,0.981329
62.6667,0.981289
62.8333,0.981249
63.0,0.981209
63.1667,0.981169
63.3333,0.981128
63.5,0.981087
63.6667,0.981046
63.8333,0.981005
64.0,0.980964
64.1667,0.980923
64.3333,0.980882
64.5,0.980841
64.6667,0.980799
64.8333,0.980758
65.0,0.980716
65.1667,0.980674
65.3333,0.980633
65.5,0.980591
65.6667,0.980549
65.8333,0.980507
66.0,0.980465
66.1667,0.980423
66.3333,0.980381
66.5,0.980339
66.6667,0.980297
66.8333,0.980255
67.0,0.980213
67.1667,0.980171
67.3333,0.980129
67.5,0.980086
67.6667,0.980044
67.8333,0.980002
68.0,0.979959
68.1667,0.979917
68.3333,0.979874
68.5,0.979831
68.6667,0.979789
68.8333,0.979746
69.0,0.979703
69.1667,0.97966
69.3333,0.979617
69.5,0.979573
69.6667,0.97953
69.8333,0.979487
70.0,0.979443
70.1667,0.979399
70.3333,0.979356
70.5,0.979312
70.6667,0.979268
70.8333,0.979224
71.0,0.97918
71.1667,0.979135
71.3333,0.979091
71.5,0.979047
71.6667,0.979002
71.8333,0.978958
72.0,0.978913
72.1667,0.978869
72.3333,0.978824
72.5,0.978779
72.6667,0.978735
72.8333,0.97869
73.0,0.978645
73.1667,0.9786
73.3333,0.978556
73.5,0.978511
73.6667,0.978466
73.8333,0.978421
74.0,0.978376
74.1667,0.978331
74.3333,0.978286
74.5,0.978241
74.6667,0.978196
74.8333,0.978151
75.0,0.978106
75.1667,0.978061
75.3333,0.978015
75.5,0.97797
75.6667,0.977925
75.8333,0.977879
76.0,0.977834
76.1667,0.977788
76.3333,0.977743
76.5,0.977697
76.6667,0.977651
76.8333,0.977605
77.0,0.977559
77.1667,0.977513
77.3333,0.977467
77.5,0.977421
77.6667,0.977375
77.8333,0.977329
78.0,0.977282
78.1667,0.977236
78.3333,0.977189
78.5,0.977142
78.6667,0.977095
78.8333,0.977048
79.0,0.977001
79.1667,0.976954
79.3333,0.976907
79.5,0.97686
79.6667,0.976812
79.8333,0.976765
80.0,0.976717
80.1667,0.976669
80.3333,0.976621
80.5,0.976574
80.6667,0.976526
80.8333,0.976478
81.0,0.97643
81.1667,0.976382
81.3333,0.976333
81.5,0.976285
81.6667,0.976237
81.8333,0.976189
82.0,0.976141
82.1667,0.976092
82.3333,0.976044
82.5,0.975996
82.6667,0.975948
82.8333,0.975899
83.0,0.975851
83.1667,0.975803
83.3333,0.975754
83.5,0.975706
83.6667,0.975658
83.8333,0.975609
84.0,0.975561
84.1667,0.975512
84.3333,0.975464
84.5,0.975415
84.6667,0.975367
84.8333,0.975318
85.0,0.97527
85.1667,0.975221
85.3333,0.975172
85.5,0.975124
85.6667,0.975075
85.8333,0.975026
86.0,0.974977
86.1667,0.974928
86.3333,0.974879
86.5,0.97483
86.6667,0.974781
86.8333,0.974732
87.0,0.974682
87.1667,0.974633
87.3333,0.974583
87.5,0.974534
87.6667,0.974484
87.8333,0.974434
88.0,0.974384
88.1667,0.974334
88.3333,0.974284
88.5,0.974234
88.6667,0.974184
88.8333,0.974134
89.0,0.974083
89.1667,0.974033
89.3333,0.973982
89.5,0.973932
89.6667,0.973881
89.8333,0.97383
90.0,0.973779
90.1667,0.973728
90.3333,0.973677
90.5,0.973626
90.6667,0.973574
90.8333,0.973523
91.0,0.973471
91.1667,0.97342
91.3333,0.973368
91.5,0.973316
91.6667,0.973264
91.8333,0.973212
92.0,0.97316
92.1667,0.973108
92.3333,0.973056
92.5,0.973003
92.6667,0.972951
92.8333,0.972898
93.0,0.972845
93.1667,0.972792
93.3333,0.972739
93.5,0.972686
93.6667,0.972633
93.8333,0.97258
94.0,0.972526
94.1667,0.972473
94.3333,0.972419
94.5,0.972366
94.6667,0.972312
94.8333,0.972258
95.0,0.972204
95.1667,0.97215
95.3333,0.972096
95.5,0.972042
95.6667,0.971988
95.8333,0.971933
96.0,0.971879
96.1667,0.971824
96.3333,0.97177
96.5,0.971715
96.6667,0.971661
96.8333,0.971606
97.0,0.971551
97.1667,0.971496
97.3333,0.971442
97.5,0.971387
97.6667,0.971332
97.8333,0.971277
98.0,0.971222
98.1667,0.971167
98.3333,0.971112
98.5,0.971057
98.6667,0.971002
98.8333,0.970947
99.0,0.970892
99.1667,0.970838
99.3333,0.970783
99.5,0.970728
99.6667,0.970673
99.8333,0.970618
100.0,0.970564
100.1667,0.970509
100.3333,0.970454
100.5,0.9704
100.6667,0.970345
100.8333,0.970291
101.0,0.970236
101.1667,0.970182
101.3333,0.970127
101.5,0.970073
101.6667,0.970018
101.8333,0.969964
102.0,0.969909
102.1667,0.969855
102.3333,0.9698
102.5,0.969746
102.6667,0.969691
102.8333,0.969636
103.0,0.969582
103.1667,0.969527
103.3333,0.969472
103.5,0.969417
103.6667,0.969362
103.8333,0.969307
104.0,0.969252
104.1667,0.969196
104.3333,0.969141
104.5,0.969086
104.6667,0.96903
104.8333,0.968975
105.0,0.968919
105.1667,0.968863
105.3333,0.968808
105.5,0.968752
105.6667,0.968696
105.8333,0.96864
106.0,0.968584
106.1667,0.968528
106.3333,0.968472
106.5,0.968415
106.6667,0.968359
106.8333,0.968303
107.0,0.968247
107.1667,0.96819
107.3333,0.968134
107.5,0.968078
107.6667,0.968021
107.8333,0.967965
108.0,0.967909
108.1667,0.967852
108.3333,0.967796
108.5,0.96774
108.6667,0.967684
108.8333,0.967628
109.0,0.967571
109.1667,0.967515
109.3333,0.967459
109.5,0.967403
109.6667,0.967348
109.8333,0.967292
110.0,0.967236
110.1667,0.96718
110.3333,0.967125
110.5,0.96707
110.6667,0.967014
110.8333,0.966959
111.0,0.966904
111.1667,0.966849
111.3333,0.966794
111.5,0.96674
111.6667,0.966685
111.8333,0.966631
112.0,0.966576
112.1667,0.966522
112.3333,0.966467
112.5,0.966413
112.6667,0.966359
112.8333,0.966305
113.0,0.966251
113.1667,0.966197
113.3333,0.966143
113.5,0.966089
113.6667,0.966035
113.8333,0.965981
114.0,0.965927
114.1667,0.965873
114.3333,0.965819
114.5,0.965765
114.6667,0.965711
114.8333,0.965657
115.0,0.965603
115.1667,0.96555
115.3333,0.965496
115.5,0.965442
115.6667,0.965388
115.8333,0.965334
116.0,0.96528
116.1667,0.965226
116.3333,0.965172
116.5,0.965118
116.6667,0.965064
116.8333,0.96501
117.0,0.964956
117.1667,0.964902
117.3333,0.964848
117.5,0.964794
117.6667,0.964739
117.8333,0.964685
118.0,0.96463
118.1667,0.964576
118.3333,0.964521
118.5,0.964467
118.6667,0.964412
118.8333,0.964357
119.0,0.964303
119.1667,0.964248
119.3333,0.964193
119.5,0.964138
119.6667,0.964083
119.8333,0.964028
120.0,0.963973
120.1667,0.963919
120.3333,0.963864
120.5,0.963809
120.6667,0.963754
120.8333,0.963699
121.0,0.963645
121.1667,0.96359
121.3333,0.963536
121.5,0.963482
121.6667,0.963428
121.8333,0.963374
122.0,0.96332
122.1667,0.963266
122.3333,0.963213
122.5,0.96316
122.6667,0.963107
122.8333,0.963054
123.0,0.963001
123.1667,0.962949
123.3333,0.962897
123.5,0.962845
123.6667,0.962794
123.8333,0.962742
124.0,0.962691
124.1667,0.96264
124.3333,0.96259
124.5,0.96254
124.6667,0.96249
124.8333,0.96244
125.0,0.96239
125.1667,0.962341
125.3333,0.962292
125.5,0.962243
125.6667,0.962195
125.8333,0.962147
126.0,0.962099
126.1667,0.962051
126.3333,0.962003
126.5,0.961956
126.6667,0.961909
126.8333,0.961862
127.0,0.961815
127.1667,0.961768
127.3333,0.961721
127.5,0.961675
127.6667,0.961629
127.8333,0.961582
128.0,0.961536
128.1667,0.96149
128.3333,0.961444
