curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
4,4,10.1002/adfm.201801654,10.1002_adfm.201801654,x_time_day,Fig4_F_stability_performance_curve_pce,Fig4_F,Series_1,Control_MAPbl,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,1.0035646390205453,19.353050231933594,Q3,n/a,pre-normalised
6,6,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Series_2,PCE,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,0.9988690760244715,17.726463317871094,Q2,n/a,pre-normalised
15,15,10.1002/adfm.201807850,10.1002_adfm.201807850,x_time_day,Fig7_E_stability_performance_curve,Fig7_E,Series_1,w_o_NbF₅,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,1.000937061897242,26.801990509033203,Q2,n/a,pre-normalised
21,21,10.1002/adfm.202001557,10.1002_adfm.202001557,x_time_day,Fig4_B_pce,Fig4_B,Series_1,perovskite,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,107.03017785254426,17.70624542236328,Q5,Q5,absolute
22,22,10.1002/adfm.202004209,10.1002_adfm.202004209,x_time_day,Fig11_C_stability_performance_curve_pce,Fig11_C,Series_2,SnO2,x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,19.038434204796012,24.607961654663086,Q5,Q4,absolute
29,29,10.1002/adfm.202204450,10.1002_adfm.202204450,x_time_day,Fig1_F_stability,Fig1_F,Series_1,Control,x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,0.9999927697563171,15.799236297607422,Q2,n/a,pre-normalised
33,33,10.1002/adma.201706975,10.1002_adma.201706975,x_time_day,Fig4_A_stability_performance_curve,Fig4_A,Series_2,TiO2,x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/accepted/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,11.921132097689918,27.065080642700195,Q5,Q1,absolute
34,34,10.1002/adma.201900605,10.1002_adma.201900605,x_time_day,Fig5_F_stability_performance_curve_pce,Fig5_F,Series_2,CsPbl,x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,1.0041416395237504,32.814796447753906,Q3,n/a,pre-normalised
41,41,10.1002/advs.201801715,10.1002_advs.201801715,x_time_day,Fig5_A_sem_image_stability_performance_curve_pce,Fig5_A,Series_1,Control,x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/accepted/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,1.0007567476236672,33.15354537963867,Q2,n/a,pre-normalised
49,49,10.1002/aenm.201702934,10.1002_aenm.201702934,x_time_day,Fig4_A_stability_performance_curve,Fig4_A,Series_2,ZnO,x_time_day/10.1002_aenm.201702934/Fig4_A_stability_performance_curve/accepted/10.1002_aenm.201702934__Fig4__A__stability_performance_curve__ZnO__Series_2.csv,15.252676929767457,17.361604690551758,Q5,Q2,absolute
