curve_id,top_dir,doi,doi_dir,figure_folder,figure_label,figure_short,panel_letter,series_id,legend_hint,unit_label,unit_factor,max_x_raw,max_x_hours,n_points,csv_path
0,x_time_day,10.1002/adfm.201705545,10.1002_adfm.201705545,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_1,PSC-0.1,days,24.0,45.02217721436748,1080.5322531448196,58,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv
1,x_time_day,10.1002/adfm.201705545,10.1002_adfm.201705545,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_2,PSC-0,days,24.0,32.46214775445713,779.091546106971,43,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv
2,x_time_day,10.1002/adfm.201705545,10.1002_adfm.201705545,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_3,PSC-0.25,days,24.0,45.02217721436748,1080.5322531448196,58,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv
3,x_time_day,10.1002/adfm.201705545,10.1002_adfm.201705545,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_4,PSC-0.5,days,24.0,44.24686675387919,1061.9248020931004,57,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv
4,x_time_day,10.1002/adfm.201801654,10.1002_adfm.201801654,Fig4_F_stability_performance_curve_pce,Fig4_F,Fig4,_F,Series_1,Control_MAPbl,days,24.0,19.67252723311478,472.1406535947548,47,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv
5,x_time_day,10.1002/adfm.201804128,10.1002_adfm.201804128,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_1,V_oc,days,24.0,19.226788605433583,461.442926530406,42,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv
6,x_time_day,10.1002/adfm.201804128,10.1002_adfm.201804128,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_2,PCE,days,24.0,20.06771559415867,481.6251742598081,45,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv
7,x_time_day,10.1002/adfm.201804128,10.1002_adfm.201804128,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_3,FF,days,24.0,19.600533933755848,470.41281441014036,46,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv
8,x_time_day,10.1002/adfm.201804128,10.1002_adfm.201804128,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_4,J_sc,days,24.0,19.600533933755848,470.41281441014036,43,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv
9,x_time_day,10.1002/adfm.201807024,10.1002_adfm.201807024,Fig6_D_pce,Fig6_D,Fig6,_D,Series_1,0_MASCN,days,24.0,17.835896820776686,428.0615236986405,18,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv
10,x_time_day,10.1002/adfm.201807556,10.1002_adfm.201807556,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_1,PTAA-controlled,days,24.0,29.823520448525873,715.764490764621,56,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv
11,x_time_day,10.1002/adfm.201807556,10.1002_adfm.201807556,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_2,PEDOT_PSS-controlled,days,24.0,29.76907967051785,714.4579120924284,56,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv
12,x_time_day,10.1002/adfm.201807556,10.1002_adfm.201807556,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_3,TFB-controlled,days,24.0,29.714638892509836,713.151333420236,56,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv
13,x_time_day,10.1002/adfm.201807604,10.1002_adfm.201807604,Fig5_A_stability,Fig5_A,Fig5,_A,Series_1,AD-SnO₂,days,24.0,29.65123794399523,711.6297106558856,61,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv
14,x_time_day,10.1002/adfm.201807604,10.1002_adfm.201807604,Fig5_A_stability,Fig5_A,Fig5,_A,Series_2,TA-SnO2,days,24.0,29.800375206374003,715.2090049529761,61,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv
15,x_time_day,10.1002/adfm.201807850,10.1002_adfm.201807850,Fig7_E_stability_performance_curve,Fig7_E,Fig7,_E,Series_1,w_o_NbF₅,days,24.0,26.863396735267486,644.7215216464197,24,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv
16,x_time_day,10.1002/adfm.201900221,10.1002_adfm.201900221,Fig5_D_stability_performance_curve_pce,Fig5_D,Fig5,_D,Series_1,PEAI,days,24.0,39.21696043329332,941.2070503990398,59,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv
