curve_id,csv_path,reason
60,x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/accepted/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ-Cu_NiO__Series_2.csv,preprocess_failed
61,x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/accepted/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ__Series_3.csv,preprocess_failed
100,x_time_day/10.1002_pip.3352/Fig6_H_stability_performance_curve/accepted/10.1002_pip.3352__Fig6__H__stability_performance_curve__Control__Series_2.csv,preprocess_failed
262,x_time_day/10.1016_j.matt.2019.04.001/Fig5_E_stability_performance_curve_pce/accepted/10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2.csv,preprocess_failed
287,x_time_day/10.1016_j.nanoen.2019.104412/Fig3_A_pce/accepted/10.1016_j.nanoen.2019.104412__Fig3__A__pce__Mg-TFSI₂__Series_2.csv,preprocess_failed
361,x_time_day/10.1016_j.solmat.2019.110289/Fig4_A_jv_curve_stability_performance_pce_ff/accepted/10.1016_j.solmat.2019.110289__Fig4__A__jv_curve_stability_performance_pce_ff__ALD-Al₂O3encapsulation__Series_1.csv,preprocess_failed
362,x_time_day/10.1016_j.solmat.2019.110289/Fig4_A_jv_curve_stability_performance_pce_ff/accepted/10.1016_j.solmat.2019.110289__Fig4__A__jv_curve_stability_performance_pce_ff__No_encapsulation__Series_2.csv,preprocess_failed
381,x_time_day/10.1021_acs.jpcc.8b09722/Fig2_B_stability_performance_curve/accepted/10.1021_acs.jpcc.8b09722__Fig2__B__stability_performance_curve__Pristine_MAPbI₃__Series_2.csv,preprocess_failed
388,x_time_day/10.1021_acs.nanolett.9b02142/Fig1_C_stability_performance_curve_voc/accepted/10.1021_acs.nanolett.9b02142__Fig1__C__stability_performance_curve_voc__LD-HP__Series_1.csv,preprocess_failed
389,x_time_day/10.1021_acs.nanolett.9b02142/Fig1_C_stability_performance_curve_voc/accepted/10.1021_acs.nanolett.9b02142__Fig1__C__stability_performance_curve_voc__Control-HP__Series_2.csv,preprocess_failed
390,x_time_day/10.1021_acs.nanolett.9b02142/Fig1_D_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__Control-HP__Series_1.csv,preprocess_failed
391,x_time_day/10.1021_acs.nanolett.9b02142/Fig1_D_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__LD-HP__Series_2.csv,preprocess_failed
469,x_time_day/10.1021_acsomega.0c03184/Fig3_C_stability_performance_curve/accepted/10.1021_acsomega.0c03184__Fig3__C__stability_performance_curve__AZO-IV__Series_3.csv,preprocess_failed
522,x_time_day/10.1039_c8tc01345d/Fig5_whole_pce/accepted/10.1039_c8tc01345d__Fig5__whole__pce__H2__Series_2.csv,preprocess_failed
583,x_time_day/10.1039_d2ta02588d/Fig4_A_stability_performance_curve_pce/accepted/10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI__Series_1.csv,preprocess_failed
584,x_time_day/10.1039_d2ta02588d/Fig4_A_stability_performance_curve_pce/accepted/10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__F4-TCNQ__Series_2.csv,preprocess_failed
585,x_time_day/10.1039_d2ta02588d/Fig4_A_stability_performance_curve_pce/accepted/10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI_FK2091.2__Series_3.csv,preprocess_failed
817,x_time_h/10.1002_anie.202301234/Fig3_E_stability_performance_curve/accepted/10.1002_anie.202301234__Fig3__E__stability_performance_curve__Control__Series_3.csv,preprocess_failed
819,x_time_h/10.1002_anie.202410069/Fig4_G_stability_performance_curve_pce/accepted/10.1002_anie.202410069__Fig4__G__stability_performance_curve_pce__Control__Series_1.csv,preprocess_failed
1000,x_time_h/10.1016_j.cej.2021.130841/Fig7_A_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.130841__Fig7__A__stability_performance_curve_pce__Without_additive__Series_2.csv,preprocess_failed
1047,x_time_h/10.1016_j.jechem.2020.08.055/Fig4_A_stability_performance_curve/accepted/10.1016_j.jechem.2020.08.055__Fig4__A__stability_performance_curve__FA-0__Series_1.csv,preprocess_failed
1071,x_time_h/10.1016_j.joule.2018.11.026/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.joule.2018.11.026__Fig6__A__stability_performance_curve_pce__(PA)₂(MA)₃Pb₄I₁₃__Series_2.csv,preprocess_failed
1072,x_time_h/10.1016_j.joule.2018.11.026/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.joule.2018.11.026__Fig6__A__stability_performance_curve_pce__MAPbI₃__Series_3.csv,preprocess_failed
1154,x_time_h/10.1016_j.nanoen.2020.105731/Fig5_F_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.105731__Fig5__F__stability_performance_curve_pce__control__Series_2.csv,preprocess_failed
1233,x_time_h/10.1016_j.xcrp.2021.100450/Fig5_C_stability_performance_curve_pce_image/accepted/10.1016_j.xcrp.2021.100450__Fig5__C__stability_performance_curve_pce_image__Control__Series_2.csv,preprocess_failed
1383,x_time_h/10.1021_acsami.9b00923/Fig9_A_stability_performance_curve_pce/accepted/10.1021_acsami.9b00923__Fig9__A__stability_performance_curve_pce__Partial_Stack__Series_3.csv,preprocess_failed
1462,x_time_h/10.1021_jacs.0c12802/Fig5_C_mppt_stability_performance_curve_pce/accepted/10.1021_jacs.0c12802__Fig5__C__mppt_stability_performance_curve_pce__Control__Series_1.csv,preprocess_failed
1467,x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/accepted/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag-b1__Series_3.csv,preprocess_failed
1468,x_time_h/10.1021_jacs.1c02118/Fig5_D_stability_performance_curve/accepted/10.1021_jacs.1c02118__Fig5__D__stability_performance_curve__Ag__Series_4.csv,preprocess_failed
1473,x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/accepted/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_carbon__Series_2.csv,preprocess_failed
1474,x_time_h/10.1021_jacs.6b10227/Fig3_C_jv_curve_stability_performance_photovoltaic_parameter/accepted/10.1021_jacs.6b10227__Fig3__C__jv_curve_stability_performance_photovoltaic_parameter__MAPbI₃_spiro-MeOTAD__Series_3.csv,preprocess_failed
1523,x_time_h/10.1038_s41560-019-0382-6/Fig5_C_mppt_stability_performance_curve/accepted/10.1038_s41560-019-0382-6__Fig5__C__mppt_stability_performance_curve__CsFAMA__Series_1.csv,preprocess_failed
1524,x_time_h/10.1038_s41560-019-0382-6/Fig5_C_mppt_stability_performance_curve/accepted/10.1038_s41560-019-0382-6__Fig5__C__mppt_stability_performance_curve__CsFAMA-F__Series_2.csv,preprocess_failed
1531,x_time_h/10.1038_s41560-020-00721-5/Fig4_E_mppt_stability_performance_curve_jsc/accepted/10.1038_s41560-020-00721-5__Fig4__E__mppt_stability_performance_curve_jsc__MQWs__Series_1.csv,preprocess_failed
1613,x_time_h/10.1039_c8se00450a/Fig5_D_pce/accepted/10.1039_c8se00450a__Fig5__D__pce__CusCN_Carbon__Series_1.csv,preprocess_failed
1778,x_time_h/10.1039_d4ta03516j/Fig6_E_stability_performance_curve/accepted/10.1039_d4ta03516j__Fig6__E__stability_performance_curve__Control__Series_2.csv,preprocess_failed
1782,x_time_h/10.1039_d4ta08040h/Fig4_A_mppt_stability_performance_curve_pce_image/accepted/10.1039_d4ta08040h__Fig4__A__mppt_stability_performance_curve_pce_image__ea__Series_1.csv,preprocess_failed
1790,x_time_h/10.1039_d5ee02619a/Fig5_C_stability_performance_curve/accepted/10.1039_d5ee02619a__Fig5__C__stability_performance_curve__Control__Series_1.csv,preprocess_failed
