doi,total_curves,C0_count,C1_count,C2_count,C3_count,C0_share,C1_share,C2_share,C3_share
10.1002/adem.202000990,2,1,0,0,1,0.5,0.0,0.0,0.5
10.1002/adfm.201601119,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201605988,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201702090,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201705363,2,0,1,1,0,0.0,0.5,0.5,0.0
10.1002/adfm.201705545,4,4,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201706777,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201706923,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201800346,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201801654,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201803269,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201804128,4,3,0,1,0,0.75,0.0,0.25,0.0
10.1002/adfm.201804856,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.201807024,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201807556,3,3,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201807604,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201807850,3,0,1,1,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.1002/adfm.201808119,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201900221,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201901026,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201901296,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201905951,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.201909737,1,0,1,0,0,0.0,1.0,0.0,0.0
10.1002/adfm.201910620,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.202000034,2,0,1,1,0,0.0,0.5,0.5,0.0
10.1002/adfm.202000778,2,1,1,0,0,0.5,0.5,0.0,0.0
10.1002/adfm.202001418,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202001557,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.202001788,3,3,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202004209,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.202005846,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202008052,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202008801,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202010368,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202010696,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.202101568,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202103316,6,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0
10.1002/adfm.202103807,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202106560,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adfm.202107710,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adfm.202111116,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adfm.202200174,1,0,1,0,0,0.0,1.0,0.0,0.0
10.1002/adfm.202200473,3,2,0,1,0,0.6666666666666666,0.0,0.3333333333333333,0.0
10.1002/adfm.202204450,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adfm.202215041,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202309894,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adfm.202501623,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adma.201503729,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adma.201606608,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201606806,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201700607,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201705596,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201706126,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201706975,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adma.201707143,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adma.201800544,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201800973,1,0,1,0,0,0.0,1.0,0.0,0.0
10.1002/adma.201801948,2,0,0,2,0,0.0,0.0,1.0,0.0
10.1002/adma.201803735,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201805323,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adma.201806823,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201900605,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adma.201901242,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201901673,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201901966,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201902902,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201904347,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201904494,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201905502,2,1,1,0,0,0.5,0.5,0.0,0.0
10.1002/adma.201906995,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201907623,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201907769,2,1,1,0,0,0.5,0.5,0.0,0.0
10.1002/adma.201907864,2,2,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.201908107,1,0,1,0,0,0.0,1.0,0.0,0.0
10.1002/adma.202000865,1,0,1,0,0,0.0,1.0,0.0,0.0
10.1002/adma.202001470,4,1,1,2,0,0.25,0.25,0.5,0.0
10.1002/adma.202003296,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.202003965,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adma.202004979,1,0,0,1,0,0.0,0.0,1.0,0.0
10.1002/adma.202006087,3,0,3,0,0,0.0,1.0,0.0,0.0
10.1002/adma.202006753,1,1,0,0,0,1.0,0.0,0.0,0.0
10.1002/adma.202007431,2,1,0,1,0,0.5,0.0,0.5,0.0
10.1002/adma.202101823,2,1,0,1,0,0.5,0.0,0.5,0.0
