kept_index,curve_id,doi,doi_dir,top_dir,figure_folder,figure_label,figure_short,panel_letter,series_id,legend_hint,csv_path,max_x_hours,abs_max_pce,pce_at_200h,norm_pce_at_200h,delta_pce_rel_pct,max_pce_source,max_pce_bin,max_pce_bin_index,max_pce_bin_absolute,max_pce_bin_absolute_index,som_cluster_id,som_coord
0,0,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_1,PSC-0.1,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,1080.5322531448196,0.9901769280905162,0.956631301659102,0.9788256883621216,2.117431163787842,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1,1,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_2,PSC-0,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,779.091546106971,0.9927573608929325,0.8843791831914409,0.9063436388969421,9.365635871887207,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
2,2,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_3,PSC-0.25,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,1080.5322531448196,1.000498659300182,1.000498659300182,1.0,0.0,pre-normalised,Q2,1,n/a,-1,0,"(0,0)"
3,3,10.1002/adfm.201705545,10.1002_adfm.201705545,x_time_day,Fig11_B_stability_performance_curve,Fig11_B,Fig11,_B,Series_4,PSC-0.5,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,1061.9248020931004,1.000498659300182,0.9927573608929325,0.9972389340400696,0.276106595993042,pre-normalised,Q2,1,n/a,-1,0,"(0,0)"
4,4,10.1002/adfm.201801654,10.1002_adfm.201801654,x_time_day,Fig4_F_stability_performance_curve_pce,Fig4_F,Fig4,_F,Series_1,Control_MAPbl,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,472.1406535947548,1.0035646390205453,0.8025908678996803,0.8064695000648499,19.353050231933594,pre-normalised,Q3,2,n/a,-1,2,"(1,0)"
5,5,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_1,V_oc,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,461.442926530406,1.0021300391283965,0.8439733285880335,0.8507741689682007,14.922582626342773,pre-normalised,Q3,2,n/a,-1,0,"(0,0)"
6,6,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_2,PCE,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,481.6251742598081,0.9988690760244715,0.8032112897889709,0.8227353692054749,17.726463317871094,pre-normalised,Q2,1,n/a,-1,2,"(1,0)"
7,7,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_3,FF,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,470.41281441014036,1.0021300391283965,0.9956081129205465,0.9935652017593384,0.6434798240661621,pre-normalised,Q3,2,n/a,-1,0,"(0,0)"
8,8,10.1002/adfm.201804128,10.1002_adfm.201804128,x_time_day,Fig8_C_stability_performance_curve_decay,Fig8_C,Fig8,_C,Series_4,J_sc,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,470.41281441014036,1.003760520680359,0.9532155925695214,0.9528852701187134,4.711472988128662,pre-normalised,Q3,2,n/a,-1,0,"(0,0)"
9,9,10.1002/adfm.201807024,10.1002_adfm.201807024,x_time_day,Fig6_D_pce,Fig6_D,Fig6,_D,Series_1,0_MASCN,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,428.0615236986405,0.9967099413295936,0.8299149222274049,0.8685272932052612,13.147270202636719,pre-normalised,Q2,1,n/a,-1,0,"(0,0)"
10,10,10.1002/adfm.201807556,10.1002_adfm.201807556,x_time_day,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_1,PTAA-controlled,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,715.764490764621,14.786920046362956,14.170506540131036,0.9651162028312683,3.488379716873169,absolute,Q5,4,Q2,1,0,"(0,0)"
11,11,10.1002/adfm.201807556,10.1002_adfm.201807556,x_time_day,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_2,PEDOT_PSS-controlled,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,714.4579120924284,13.656828618271103,12.1157948526913,0.8976570963859558,10.23429012298584,absolute,Q5,4,Q2,1,0,"(0,0)"
12,12,10.1002/adfm.201807556,10.1002_adfm.201807556,x_time_day,Fig6_A_stability_performance_curve_ff,Fig6_A,Fig6,_A,Series_3,TFB-controlled,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,713.151333420236,20.28327381026425,19.25591796654438,0.9519333839416504,4.806661605834961,absolute,Q5,4,Q4,3,0,"(0,0)"
13,13,10.1002/adfm.201807604,10.1002_adfm.201807604,x_time_day,Fig5_A_stability,Fig5_A,Fig5,_A,Series_1,AD-SnO₂,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,711.6297106558856,1.0015454534902426,0.8348053935327043,0.8386141061782837,16.13858985900879,pre-normalised,Q3,2,n/a,-1,0,"(0,0)"
