--- ALL CURVES ---,,,,,,,,,
bin_label,total_curves,C0_count,C0_share,C1_count,C1_share,C2_count,C2_share,C3_count,C3_share
Q1,367,166,0.45231607629427795,66,0.17983651226158037,105,0.28610354223433243,30,0.08174386920980926
Q2,367,222,0.6049046321525886,35,0.09536784741144415,102,0.2779291553133515,8,0.021798365122615803
Q3,366,245,0.6693989071038251,25,0.06830601092896176,91,0.24863387978142076,5,0.01366120218579235
Q4,367,276,0.7520435967302452,18,0.04904632152588556,68,0.18528610354223432,5,0.013623978201634877
Q5,367,225,0.6130790190735694,34,0.09264305177111716,96,0.2615803814713896,12,0.0326975476839237

--- ABSOLUTE-PCE ONLY ---,,,,,,,,,
bin_label,total_curves,C0_count,C0_share,C1_count,C1_share,C2_count,C2_share,C3_count,C3_share
Q1,67,36,0.5373134328358209,9,0.13432835820895522,20,0.29850746268656714,2,0.029850746268656716
Q2,66,42,0.6363636363636364,4,0.06060606060606061,18,0.2727272727272727,2,0.030303030303030304
Q3,66,39,0.5909090909090909,7,0.10606060606060606,16,0.24242424242424243,4,0.06060606060606061
Q4,66,45,0.6818181818181818,6,0.09090909090909091,12,0.18181818181818182,3,0.045454545454545456
Q5,66,35,0.5303030303030303,8,0.12121212121212122,22,0.3333333333333333,1,0.015151515151515152
