test,pipeline,archetype,status,clearly_present,weakly_present,rare,not_observed,matching_clusters,posthoc_evidence,note
test1_raw,Raw → SOM,Bridge,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test1_raw,Raw → SOM,Hill,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test1_raw,Raw → SOM,Slope,Clearly present,X,,,,0;1;2;3,C0: early slope=-0.0018/h; late slope=-0.0013/h; Δrel=-0.221 | C1: early slope=-0.0003/h; late slope=-0.0006/h; Δrel=-0.094 | C2: early slope=-0.0079/h; late slope=-0.0008/h; Δrel=-0.505 | C3: early slope=-0.0045/h; late slope=-0.0012/h; Δrel=-0.339,Post-selection observational audit; never used for SOM training or K selection.
test1_raw,Raw → SOM,Valley,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test2_resample_normalize,Resample + Normalize → SOM,Bridge,Clearly present,X,,,,0,C0: peak=30.0 h; rise=0.068; post-peak drop=0.059; peak width=0.468,Post-selection observational audit; never used for SOM training or K selection.
test2_resample_normalize,Resample + Normalize → SOM,Hill,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test2_resample_normalize,Resample + Normalize → SOM,Slope,Clearly present,X,,,,1;2;3,C1: early slope=-0.0026/h; late slope=-0.0013/h; Δrel=-0.259 | C2: early slope=-0.0060/h; late slope=-0.0013/h; Δrel=-0.423 | C3: early slope=-0.0096/h; late slope=-0.0010/h; Δrel=-0.650 | C4 weak: early slope=-0.0156/h; late slope=0.0003/h; Δrel=-0.775,Post-selection observational audit; never used for SOM training or K selection.
test2_resample_normalize,Resample + Normalize → SOM,Valley,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,Bridge,Clearly present,X,,,,0,C0: peak=28.5 h; rise=0.067; post-peak drop=0.060; peak width=0.468,Post-selection observational audit; never used for SOM training or K selection.
test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,Hill,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,Slope,Clearly present,X,,,,1;2;3,C1: early slope=-0.0027/h; late slope=-0.0013/h; Δrel=-0.260 | C2: early slope=-0.0060/h; late slope=-0.0013/h; Δrel=-0.424 | C3: early slope=-0.0100/h; late slope=-0.0011/h; Δrel=-0.676 | C4 weak: early slope=-0.0187/h; late slope=0.0003/h; Δrel=-0.902,Post-selection observational audit; never used for SOM training or K selection.
test3_resample_normalize_smooth,Resample + Normalize + Smooth → SOM,Valley,Not observed,,,,X,,No natural-cluster centre met the operational pattern.,Post-selection observational audit; never used for SOM training or K selection.
